
Axis Mutual Fund
AxiSTriple Advantage Fund-Direct Pl-Div ,11.02,10.91,11.02
AxiSTriple Advantage Fund-Direct Pl-Gr ,12.8,12.67,12.8
AxiSTriple Advantage Fund-Div ,10.95,10.84,10.95
AxiSTriple Advantage Fund-Gr ,12.71,12.58,12.71
Axis LT Equity Fund-Direct Pl-Div ,14.5,14.5,14.5
Axis LT Equity Fund-Direct Pl-Gr ,17.01,17.01,17.01
Axis LT Equity Fund-Div,14.42,14.42,14.42
Axis LT Equity Fund-Gr,16.86,16.86,16.86
Axis Gold Fund-Direct Pl-Div ,11.06,10.95,11.06
Axis Gold Fund-Direct Pl-Gr ,11.07,10.96,11.07
Axis Gold Fund-Div ,10.95,10.84,10.95
Axis Gold Fund-Gr ,10.95,10.84,10.95
Axis Constant Mat 10 Year Fund-Direct Pl-Half Yly Div ,9.83,9.83,9.83
Axis Constant Mat 10 Year Fund-Direct Pl-Reg Div ,9.84,9.84,9.84
Axis Constant Mat 10 Year Fund-Gr ,10.51,10.51,10.51
Axis Constant Mat 10 Year Fund-Half Yly Div ,9.82,9.82,9.82
Axis Constant Mat 10 Year Fund-Reg Div ,9.59,9.59,9.59
Axis Constatnt Mat 10 Year Fund-Direct Pl-Gr ,10.57,10.57,10.57
Axis Gold ETF,2602.77,2602.77,2602.77
Axis Equity Fund-Direct Pl-Div,12.23,12.11,12.23
Axis Equity Fund-Direct Pl-Gr,13.59,13.45,13.59
Axis Equity Fund-Div,12.15,12.03,12.15
Axis Equity Fund-Gr,13.47,13.34,13.47
Axis Focused 25 Fund-Direct Pl-Div ,12.16,11.8,12.16
Axis Focused 25 Fund-Direct Pl-Gr ,12.2,11.83,12.2
Axis Focused 25 Fund-Div ,12.08,11.72,12.08
Axis Focused 25 Fund-Gr ,12.08,11.72,12.08
Axis Midcap Fund-Direct Pl-Div,13.62,13.21,13.62
Axis Midcap Fund-Direct Pl-Gr,13.62,13.21,13.62
Axis Midcap Fund-Div,13.51,13.1,13.51
Axis Midcap Fund-Gr,13.53,13.12,13.53
Axis Banig Debt Fund-Weely Div ,1005.96,1003.45,1005.96
Axis Baning Debt Fund-Daily Div ,1005.2,1002.69,1005.2
Axis Baning Debt Fund-Direct Pl-Daily Div ,1005.2,1002.69,1005.2
Axis Baning Debt Fund-Direct Pl-Gr ,1137.97,1135.12,1137.97
Axis Baning Debt Fund-Direct Pl-Mly Div ,1008.05,1005.53,1008.05
Axis Baning Debt Fund-Direct Pl-Weely Div ,1005.29,1002.78,1005.29
Axis Baning Debt Fund-Gr ,1136.18,1133.34,1136.18
Axis Baning Debt Fund-Mly Div ,1007.99,1005.47,1007.99
Axis Dynamic B.Fn-Half Yly Div ,10.22,10.12,10.22
Axis Dynamic B.Fn-Direct Pl-Gr ,12.27,12.15,12.27
Axis Dynamic B.Fn-Direct Pl-Half Yly Div ,10.26,10.15,10.26
Axis Dynamic B.Fn-Direct Pl-Qly Div ,10.26,10.16,10.26
Axis Dynamic B.Fn-Gr ,12.14,12.02,12.14
Axis Dynamic B.Fn-Qly Div ,10.15,10.05,10.15
Axis In Fund-Direct Pl-Gr ,11.3,11.19,11.3
Axis In Fund-Direct Pl-Qly Div ,10.26,10.16,10.26
Axis In Fund-Gr ,11.23,11.12,11.23
Axis In Fund-Half Yly Div ,10.25,10.15,10.25
Axis In Fund-Qly Div ,10.2,10.1,10.2
Axis In Saver-Direct Pl-Div-A Div ,10.64,10.53,10.64
Axis In Saver-Direct Pl-Gr ,12.39,12.27,12.39
Axis In Saver-Direct Pl-Half Yly,10.53,10.42,10.53
Axis In Saver-Direct Pl-Qly,10.75,10.64,10.75
Axis In Saver-Div-A Div ,10.61,10.5,10.61
Axis In Saver-Div-Half Yly,10.49,10.39,10.49
Axis In Saver-Div-Qly,10.46,10.35,10.46
Axis In Saver-Gr ,12.31,12.18,12.31
Axis S T Fund-Direct Pl-Gr ,13.47,13.4,13.47
Axis S T Fund-Direct Pl-Mly Div ,10.17,10.12,10.17
Axis S T Fund-Direct Pl-Reg Div ,10.26,10.21,10.26
Axis S T Fund-Gr ,13.36,13.3,13.36
Axis S T Fund-Mly Div ,10.12,10.07,10.12
Axis S T Fund-Reg Div ,10.16,10.11,10.16
Axis S T Fund-Retail Pl-Gr ,13.21,13.14,13.21
Axis S T Fund-Retail Pl-Mly Div ,10.07,10.02,10.07
Axis S T Fund-Retail Pl-Reg Div ,10.17,10.12,10.17
AxiSTreasury Advantage Fund-Daily Div ,1003.83,1003.83,1003.83
AxiSTreasury Advantage Fund-Direct Pl-Daily Div ,1004.68,1004.68,1004.68
AxiSTreasury Advantage Fund-Direct Pl-Gr ,1392.86,1392.86,1392.86
AxiSTreasury Advantage Fund-Direct Pl-Mly Div ,1005.17,1005.17,1005.17
AxiSTreasury Advantage Fund-Direct Pl-Weely Div ,1005.11,1005.11,1005.11
AxiSTreasury Advantage Fund-Gr ,1389.3,1389.3,1389.3
AxiSTreasury Advantage Fund-Ins Pl-Weely Div ,1003.84,1003.84,1003.84
AxiSTreasury Advantage Fund-Mly Div ,1005.05,1005.05,1005.05
AxiSTreasury Advantage Fund-Retail Pl-Daily Div ,1003.11,1003.11,1003.11
AxiSTreasury Advantage Fund-Retail Pl-Gr ,1334.79,1334.79,1334.79
AxiSTreasury Advantage Fund-Retail Pl-Mly Div ,1004.8,1004.8,1004.8
AxiSTreasury Advantage Fund-Retail Pl-Weely Div ,1003.52,1003.52,1003.52
